Unnamed: 0,Name,Date & Time,Location,Type,Region,Latitude,Longitude,weather,temperature,wind_speed,wind_direction
151,Trask,2/20/2024,High Dive,Music,Fremont / Ballard,47.6514631,-122.3517391,Rain,53,8 to 12 mph,S
152,"Wu Han, Philip Setzer & David Finckel",2/20/2024,Meany Center for the Performing Arts,Music,University District,,,Rain,53,8 to 12 mph,S
153,The Cookers,2/20/2024 through 2/21/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691,Rain,53,8 to 12 mph,S
154,Cesar Cuauhtemoc Garcia Hernandez,2/21/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Rain,53,8 to 12 mph,S
155,Side-by-Side with Seattle Youth Symphony Orchestra,2/21/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,8 to 12 mph,S
156,Bailen,2/22/2024,The Crocodile,Music,Downtown,47.6146474,-122.3490734,Rain,53,8 to 12 mph,S
157,Dr. Charan Ranganath,2/22/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Rain,53,8 to 12 mph,S
158,Mountain Holler,2/22/2024,High Dive,Music,Fremont / Ballard,47.6514631,-122.3517391,Rain,53,8 to 12 mph,S
159,Seattle Kraken vs. Vancouver Canucks,2/22/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,8 to 12 mph,S
160,Shabaka,2/22/2024,Town Hall Seattle,Music,Downtown,47.6090191,-122.32993774092222,Rain,53,8 to 12 mph,S
161,Funky Friday with F2D,Now through 2/23/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319,Light Rain Likely,52,9 mph,S
162,BLACKSTAR SYMPHONY: The Music of David Bowie,2/23/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,8 to 12 mph,S
163,Caligula’s Horse,2/23/2024,El Corazon,Music,Downtown,47.6188258,-122.3293843,Rain,53,8 to 12 mph,S
164,Opera Talk: The Making of X,2/23/2024,Opera Center,Readings & Lectures,Queen Anne / Seattle Center,47.6240043,-122.3494506540469,Rain,53,8 to 12 mph,S
165,Tikkadoom and Nick Drummond,2/23/2024,The Royal Room,Music,South Seattle,47.5569023,-122.2842722,Rain,53,8 to 12 mph,S
166,Wreckno,2/23/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Rain,53,8 to 12 mph,S
167,Kelly Akashi,Now through 2/24/2024,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636,Rain,52,8 to 12 mph,S
168,The Lower Depths,2/6/2024 through 2/24/2024,Erickson Theatre,Theatre,Capitol Hill / Central District,47.61467195,-122.3217419,Rain,53,8 to 12 mph,S
169,Bassekou Kouyate and Vieux Farka Toure,2/22/2024 through 2/24/2024,Town Hall Seattle,Music,Downtown,47.6090191,-122.32993774092222,Rain,53,8 to 12 mph,S
170,Crystal Skies,2/24/2024,Nectar Lounge,Music,Fremont / Ballard,47.6523876,-122.3538541520202,Rain,53,8 to 12 mph,S
171,Dan Brown Wild Symphony,2/24/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,8 to 12 mph,S
172,Nate Jackson,2/24/2024,The Moore Theatre,Theatre,Downtown,,,Rain,53,8 to 12 mph,S
173,Pink Sweat$,2/24/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Rain,53,8 to 12 mph,S
174,Root and Branch,2/24/2024,Town Hall Seattle,Music,Downtown,47.6090191,-122.32993774092222,Rain,53,8 to 12 mph,S
175,Seattle Kraken vs. Minnesota Wild,2/24/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,8 to 12 mph,S
176,Small Island Big Song,2/24/2024,Meany Center for the Performing Arts,Music,University District,,,Rain,53,8 to 12 mph,S
177,Born With Teeth,2/1/2024 through 2/25/2024,ArtsWest Playhouse and Gallery,Theatre,West Seattle,,,Rain,53,8 to 12 mph,S
178,"Once More, Just For You",2/5/2024 through 2/25/2024,Seattle Public Theater,Theatre,Wallingford / Greenlake,47.6821341,-122.3398325,Rain,53,8 to 12 mph,S
179,Wintergrass Music Festival,2/22/2024 through 2/25/2024,Hyatt Regency Bellevue,Festivals & Special Events,Bellevue / Eastside,,,Rain,53,8 to 12 mph,S
180,Klezmer Starts Here: The Music of Abe Schwartz,2/25/2024,The Royal Room,Music,South Seattle,47.5569023,-122.2842722,Rain,53,8 to 12 mph,S
181,Telling the Story,2/25/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Rain,53,8 to 12 mph,S
182,Cherry Glazerr,2/26/2024,Neumos,Music,Capitol Hill / Central District,47.613954,-122.3196108,Rain,53,8 to 12 mph,S
183,Dick & Angel Dare to Do It,2/26/2024,The Paramount Theatre,Theatre,Downtown,,,Rain,53,8 to 12 mph,S
184,Seattle Kraken vs. Boston Bruins,2/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,8 to 12 mph,S
185,Hunt for Sleeping Giants | National Geographic Live,2/25/2024 through 2/27/2024,Benaroya Hall,Readings & Lectures,Downtown,47.60811665,-122.33697040702704,Rain,53,8 to 12 mph,S
186,Big Tooth,2/27/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319,Rain,53,8 to 12 mph,S
187,Eric Klinenberg,2/27/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Rain,53,8 to 12 mph,S
188,Fresh Dressed – smARTfilms: Black Luxury,2/27/2024,Bainbridge Island Museum of Art,Museums,West,,,Rain,53,8 to 12 mph,S
189,Joy Harjo,2/27/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Rain,53,8 to 12 mph,S
190,Anand Gopal,2/28/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Rain,53,8 to 12 mph,S
191,Dianne Reeves,2/28/2024,Town Hall Seattle,Music,Downtown,47.6090191,-122.32993774092222,Rain,53,8 to 12 mph,S
192,Kassa Overall,2/28/2024,Nectar Lounge,Music,Fremont / Ballard,47.6523876,-122.3538541520202,Rain,53,8 to 12 mph,S
193,Playboi Carti,2/28/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,8 to 12 mph,S
194,Winter Brilliance,Now through 2/29/2024,Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center,47.6205296,-122.35020712496446,Rain,53,12 mph,S
195,Seattle Museum Month,2/1/2024 through 2/29/2024,Downtown Seattle,Museums,Downtown,47.5989361,-122.3279543,Rain,53,8 to 12 mph,S
196,JNA and Tavia Rhodes,2/29/2024,The Royal Room,Music,South Seattle,47.5569023,-122.2842722,Rain,53,8 to 12 mph,S
197,Julian Lage,2/29/2024,Town Hall Seattle,Music,Downtown,47.6090191,-122.32993774092222,Rain,53,8 to 12 mph,S
198,MarchFourth,2/29/2024,Nectar Lounge,Music,Fremont / Ballard,47.6523876,-122.3538541520202,Rain,53,8 to 12 mph,S
199,Seattle Kraken vs. Pittsburgh Penguins,2/29/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,8 to 12 mph,S
200,The Human Family,2/29/2024,LANGSTON Seattle,Music,Capitol Hill / Central District,47.6012977,-122.30982515103054,Rain,53,8 to 12 mph,S
201,Enjambre,3/1/2024,Nectar Lounge,Music,Fremont / Ballard,47.6523876,-122.3538541520202,Rain,53,8 to 12 mph,S
202,Fall Out Boy,3/1/2024,Climate Pledge Arena,Readings & Lectures,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,8 to 12 mph,S
203,Global Rhythms: Justin Adams and Mauro Durante,3/1/2024,Town Hall Seattle,Music,Downtown,47.6090191,-122.32993774092222,Rain,53,8 to 12 mph,S
204,Sloane Crosley with Ben Gibbard,3/1/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Rain,53,8 to 12 mph,S
205,Tacoma Stars vs. Harrisburg Heat,3/1/2024,accesso ShoWare Center,Sports,South,,,Rain,53,8 to 12 mph,S
206,Tommy Emmanuel,3/1/2024,The Moore Theatre,Music,Downtown,,,Rain,53,8 to 12 mph,S
207,Facades,2/1/2024 through 3/2/2024,Harris Harvey Gallery,Visual Arts & Galleries,Downtown,,,Rain,53,8 to 12 mph,S
208,Conrad Tao’s Playlist,3/1/2024 through 3/2/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,8 to 12 mph,S
209,Crypta,3/2/2024,El Corazon,Music,Downtown,47.6188258,-122.3293843,Rain,53,8 to 12 mph,S
210,Seattle Kraken vs. Edmonton Oilers,3/2/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,8 to 12 mph,S
211,Seattle Sounders FC vs. Austin FC,3/2/2024,Lumen Field,Sports,Pioneer Square,47.5953459,-122.33164431196111,Rain,53,8 to 12 mph,S
212,Emerald City Comic Con,2/29/2024 through 3/3/2024,Seattle Convention Center,Festivals & Special Events,Downtown,47.61175385,-122.33156275066185,Rain,53,8 to 12 mph,S
213,Briscoe,3/3/2024,Tractor Tavern,Music,Fremont / Ballard,47.6657081,-122.38280295082916,Rain,53,8 to 12 mph,S
214,Tacoma Stars vs. Harrisburg Heat,3/3/2024,accesso ShoWare Center,Music,South,,,Rain,53,8 to 12 mph,S
215,Eve’s Bayou – smARTfilms: Black Luxury,3/5/2024,Bainbridge Island Museum of Art,Museums,West,,,Rain,53,8 to 12 mph,S
216,Atlus,3/7/2024,Nectar Lounge,Music,Fremont / Ballard,47.6523876,-122.3538541520202,Rain,53,8 to 12 mph,S
217,Calidore Quartet & Abeo Quartet,3/8/2024,415 Westlake,Music,Queen Anne / Seattle Center,47.622554,-122.3386578,Rain,53,8 to 12 mph,S
218,Holding / Movement,3/8/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,8 to 12 mph,S
219,Seattle Kraken vs. Winnipeg Jets,3/8/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,8 to 12 mph,S
220,X:The Life and Times of Malcolm X,2/24/2024 through 3/9/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,47.62397705,-122.35038850536958,Rain,53,8 to 12 mph,S
221,Bach St. John Passion,3/7/2024 through 3/9/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,8 to 12 mph,S
222,Ariel Pink,3/9/2024,El Corazon,Music,Downtown,47.6188258,-122.3293843,Rain,53,8 to 12 mph,S
223,Helene Grimaud,3/9/2024,Meany Center for the Performing Arts,Music,University District,,,Rain,53,8 to 12 mph,S
224,Josiah and the Bonnevilles,3/9/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,Rain,53,8 to 12 mph,S
225,Mahan Esfahan,3/9/2024,Town Hall Seattle,Music,Downtown,47.6090191,-122.32993774092222,Rain,53,8 to 12 mph,S
226,Positive Fragmentation,Now through 3/10/2024,Bellevue Arts Museum,Museums,Bellevue / Eastside,,,Rain,53,8 to 12 mph,S
227,Antonio M. Gomez: LINEAJES,Now through 3/10/2024,Frye Art Museum,Museums,Capitol Hill / Central District,47.60719095,-122.32405377084557,Rain,53,8 to 12 mph,S
228,Soren Solkaer: Sort Sol,Now through 3/10/2024,National Nordic Museum,Museums,Fremont / Ballard,47.6683615,-122.39177949359151,Rain,53,9 to 13 mph,S
229,Luchadora!,2/22/2024 through 3/10/2024,Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,47.6204553,-122.35225726215312,Rain,53,8 to 12 mph,S
230,Wild Cats Revealed | National Geographic Live,3/10/2024 through 3/12/2024,Benaroya Hall,Readings & Lectures,Downtown,47.60811665,-122.33697040702704,Rain,53,8 to 12 mph,S
231,Seattle Kraken vs. Vegas Golden Knights,3/12/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,8 to 12 mph,S
232,Seattle Kraken vs. Washington Capitals,3/14/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,8 to 12 mph,S
233,Autoheart,3/15/2024,El Corazon,Music,Downtown,47.6188258,-122.3293843,Rain,53,8 to 12 mph,S
234,The Snuts,3/15/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,Rain,53,8 to 12 mph,S
235,Mark Morris Dance Group: The Look of Love,3/14/2024 through 3/16/2024,Meany Center for the Performing Arts,Music,University District,,,Rain,53,8 to 12 mph,S
236,Sibelius & Nielsen,3/14/2024 through 3/16/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,8 to 12 mph,S
237,Tacoma Stars vs. Chihuahua Savage,3/15/2024 through 3/16/2024,accesso ShoWare Center,Sports,South,,,Rain,53,8 to 12 mph,S
238,Seattle Kraken vs. Nashville Predators,3/16/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,8 to 12 mph,S
239,Seattle Sounders FC vs. Colorado Rapids,3/16/2024,Lumen Field,Sports,Pioneer Square,47.5953459,-122.33164431196111,Rain,53,8 to 12 mph,S
240,Native Portraiture: Power and Perception,Now through 3/17/2024,Tacoma Art Museum,Museums,South,,,Rain,53,8 to 12 mph,S
241,Places to Call Home: Settlements in the West,Now through 3/17/2024,Tacoma Art Museum,Museums,South,,,Rain,53,8 to 12 mph,S
242,Nobody Lives Here,Now through 3/17/2024,Wing Luke Museum,Museums,International District,47.5982461,-122.3228705,Rain,53,8 to 12 mph,S
243,Rootabaga Country,3/8/2024 through 3/17/2024,Opera Center,Music,Queen Anne / Seattle Center,47.6240043,-122.3494506540469,Rain,53,8 to 12 mph,S
244,Seattle Kraken vs. Buffalo Sabres,3/18/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,8 to 12 mph,S
245,Tacoma Stars vs. Empire Strykers,3/23/2024,accesso ShoWare Center,Sports,South,,,Rain,53,8 to 12 mph,S
246,Something’s Afoot,3/1/2024 through 3/24/2024,The 5th Avenue Theatre,Theatre,Downtown,,,Rain,53,8 to 12 mph,S
247,One Thousand Pieces,3/15/2024 through 3/24/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,47.62397705,-122.35038850536958,Rain,53,8 to 12 mph,S
248,Simon Trpceski Plays Tchaikovsky,3/21/2024 through 3/24/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,8 to 12 mph,S
249,Celebrate Holi! Spring Festival of Colors from South Asia,3/24/2024,Burke Museum,Museums,University District,47.6605211,-122.31156049949824,Rain,53,8 to 12 mph,S
250,Seattle Kraken vs. Montreal Canadiens,3/24/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,8 to 12 mph,S
251,Seattle Kraken vs. Anaheim Ducks,3/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,8 to 12 mph,S
252,Seattle Kraken vs. Anaheim Ducks,3/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,8 to 12 mph,S
253,Tim McGraw,3/29/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,8 to 12 mph,S
254,Harold and the Purple Crayon,3/23/2024 through 3/30/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,47.62397705,-122.35038850536958,Rain,53,8 to 12 mph,S
255,Monster Jam,3/30/2024,Lumen Field,Festivals & Special Events,Pioneer Square,47.5953459,-122.33164431196111,Rain,53,8 to 12 mph,S
256,Seattle Kraken vs. Dallas Stars,3/30/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,8 to 12 mph,S
257,Illuminate: Glass Art for Early Learners,Now through 3/31/2024,Museum of Glass,Museums,South,,,Rain,53,8 to 12 mph,S
258,Al Young’s 1970 Dodge Challenger Drag Racer,Now through 3/31/2024,Museum of History & Industry,Museums,Queen Anne / Seattle Center,47.6275114,-122.3367506,Light Rain Likely,52,8 mph,S
259,Shine On Seattle,Now through 3/31/2024,Pioneer Square,Festivals & Special Events,Pioneer Square,47.6027217,-122.3313539,Rain,53,8 to 12 mph,S
260,Sanctuary City,3/1/2024 through 3/31/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,,,Rain,53,8 to 12 mph,S
261,Stew,3/15/2024 through 3/31/2024,ACT Theatre,Theatre,Downtown,47.6108495,-122.3323262,Rain,53,8 to 12 mph,S
262,Luis Miguel,4/4/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,8 to 12 mph,S
263,Taylor Raven and Duke Kim in Recital,4/4/2024,Opera Center,Music,Queen Anne / Seattle Center,47.6240043,-122.3494506540469,Rain,53,8 to 12 mph,S
264,Jo Koy,4/5/2024,Climate Pledge Arena,Theatre,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,8 to 12 mph,S
265,Copland Appalachian Spring,4/4/2024 through 4/6/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,8 to 12 mph,S
266,Seattle Sounders FC vs. CF Montreal,4/6/2024,Lumen Field,Sports,Pioneer Square,47.5953459,-122.33164431196111,Rain,53,8 to 12 mph,S
267,Tom Segura,4/6/2024,Climate Pledge Arena,Theatre,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,8 to 12 mph,S
268,La Vaughn Belle: A History of Unruly Returns,Now through 4/7/2024,National Nordic Museum,Museums,Fremont / Ballard,47.6683615,-122.39177949359151,Rain,53,9 to 13 mph,S
269,Beetlejuice,4/2/2024 through 4/7/2024,The Paramount Theatre,Theatre,Downtown,,,Rain,53,8 to 12 mph,S
270,Seattle Kraken vs. Arizona Coyotes,4/9/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,8 to 12 mph,S
271,Seattle Kraken vs. San Jose Sharks,4/11/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,8 to 12 mph,S
272,The Percussion: Sounds from Home,4/12/2024 through 4/13/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,8 to 12 mph,S
273,Honoring 50 Years of Papunya Tula Painting,Now through 4/14/2024,Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575,Rain,53,10 mph,S
274,The Moors,3/22/2024 through 4/14/2024,Seattle Public Theater,Theatre,Wallingford / Greenlake,47.6821341,-122.3398325,Rain,53,8 to 12 mph,S
275,Mahler Symphony No. 3,4/11/2024 through 4/14/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,8 to 12 mph,S
276,Best of the Northwest Spring Show,4/13/2024 through 4/14/2024,Magnuson Park,Festivals & Special Events,University District,47.6819164,-122.2546208767266,Rain,53,8 to 12 mph,S
277,An Evening with Jinjoo Cho,4/19/2024,415 Westlake,Music,Queen Anne / Seattle Center,47.622554,-122.3386578,Rain,53,8 to 12 mph,S
278,Dvorak Symphony No. 6,4/18/2024 through 4/20/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,8 to 12 mph,S
279,Seattle Sounders FC vs. Vancouver Whitecaps FC,4/20/2024,Lumen Field,Sports,Pioneer Square,47.5953459,-122.33164431196111,Rain,53,8 to 12 mph,S
280,The Seasons’ Canon,4/12/2024 through 4/21/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,47.62397705,-122.35038850536958,Rain,53,8 to 12 mph,S
281,DRUM TAO 30th Anniversary,4/22/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,8 to 12 mph,S
282,AJR,4/26/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,8 to 12 mph,S
283,Disney’s Aladdin,4/24/2024 through 4/28/2024,The Paramount Theatre,Theatre,Downtown,,,Rain,53,8 to 12 mph,S
284,Antarctic Symphony,4/25/2024 through 4/28/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,8 to 12 mph,S
285,Noah Geller’s Playlist,5/3/2024 through 5/4/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,8 to 12 mph,S
286,Broadway Spectacular,5/4/2024,Cornish Playhouse at Seattle Center,Music,Queen Anne / Seattle Center,,,Rain,53,8 to 12 mph,S
